surface,,
0,40,0
40,20,0
80,20,0
120,20,0
0,0,40
40,0,40
80,0,40
120,0,40
0,0,80
40,0,80
80,40,80
120,40,80
0,0,120
40,0,120
80,40,120
120,40,120
surface,,
0,0,120
40,0,120
80,40,120
120,40,120
0,0,160
40,0,160
80,40,160
120,40,160
0,0,200
40,0,200
80,0,200
120,0,200
0,0,240
40,0,240
80,0,240
120,0,240
surface,,
120,20,0
160,20,0
200,0,0
240,0,0
120,0,40
160,0,40
200,0,40
240,0,40
120,40,80
160,40,80
200,0,80
240,20,80
120,40,120
160,40,120
200,0,120
240,40,120
surface,,
120,40,120
160,40,120
200,0,120
240,40,120
120,40,160
160,40,160
200,0,160
240,60,160
120,0,200
160,0,200
200,0,200
240,60,200
120,0,240
160,0,240
200,40,240
240,60,240
pet0,,
-5,0,5
-5,5,5
0,5,-5
0,0,-5
turbine,,
120,40,120
60,100,60
100,55,40
track,,
20,25,20
30,25,10
40,25,10
50,25,10
60,25,10
70,35,10
80,45,10
90,55,10
90,65,10
80,75,10
70,85,10
60,85,10
50,75,10
40,65,10
40,55,10
50,45,10
60,35,10
70,25,10
80,25,10
90,25,10
210,25,10
220,25,20
230,25,30
230,27.5,40
220,30,50
210,32.5,60
200,35,60
190,37.5,50
180,40,40
180,42.5,30
190,45,20
200,47.5,10
210,50,10
220,52.5,20
230,55,30
230,57.5,40
220,60,50
210,62.5,60
200,65,60
190,67.5,50
180,70,40
180,72.5,30
190,75,20
200,77.5,10
210,77.5,10
220,77.5,20
230,77.5,30
230,77.5,40
230,77.5,50
230,77.5,60
230,77.5,80
210,77.5,80
190,77.5,80
190,77.5,100
210,77.5,100
230,77.5,100
230,77.5,120
210,77.5,120
190,77.5,120
190,77.5,140
210,77.5,140
230,77.5,140
230,77.5,160
210,77.5,160
190,77.5,160
190,77.5,180
210,77.5,180
230,77.5,180
230,77.5,190
230,77.5,210
230,77.5,230
230,77.5,230
210,77.5,230
190,77.5,230
180,77.5,230
170,51.25,230
160,25,230
150,25,230
140,45,230
130,65,230
120,65,230
110,45,230
100,25,230
90,25,230
85,35,230
80,45,230
75,45,230
70,35,230
65,25,230
60,25,230
50,25,230
40,25,230
30,25,230
20,25,220
10,25,210
10,25,160
10,25,140
10,25,130
10,25,120
10,25,90
10,25,60
10,25,30
20,25,20
block,,
26,32,20
150,20,150
225,85,225
225,85,50
100,50,100
55,20,200
205,45,205
96,22,30
